peak_frac,early_frac,sat_frac,shot
0.015,0.6173604130744934,0.0,synth_86
0.025,0.6271178722381592,0.0,synth_87
0.025,0.6330696940422058,0.0,synth_88
0.01,0.6455227732658386,0.0,synth_89
0.025,0.6612914204597473,0.0,synth_90
0.0,0.5962385535240173,0.065,synth_91
0.03,0.6285698413848877,0.0,synth_92
0.005,0.6206223964691162,0.0,synth_93
0.01,0.6432214975357056,0.0,synth_94
0.01,0.5704519152641296,0.05,synth_95
0.02,0.624081015586853,0.0,synth_96
0.02,0.6155649423599243,0.0,synth_97
0.005,0.6580071449279785,0.025,synth_98
0.0,0.6366395354270935,0.025,synth_99
0.01,0.6453791260719299,0.0,synth_100
0.015,0.6441045999526978,0.0,synth_101
0.005,0.6112054586410522,0.08,synth_102
0.015,0.6163946390151978,0.0,synth_103
0.0,0.6027265787124634,0.065,synth_104
0.005,0.6322053670883179,0.0,synth_105
0.01,0.6352644562721252,0.03,synth_106
0.0,0.6325448751449585,0.05,synth_107
0.01,0.6752012372016907,0.0,synth_108
0.005,0.6189367771148682,0.0,synth_109
0.005,0.6122353672981262,0.035,synth_110
0.015,0.6112231016159058,0.0,synth_111
0.03,0.5560113191604614,0.0,synth_112
0.005,0.5838088393211365,0.05,synth_113
0.005,0.6280674338340759,0.0,synth_114
0.02,0.6055436134338379,0.0,synth_115
0.005,0.5921789407730103,0.055,synth_116
0.01,0.5667610764503479,0.0,synth_117
0.015,0.5847036838531494,0.0,synth_118
0.01,0.6001690030097961,0.015,synth_119
0.025,0.5741443634033203,0.0,synth_120
0.005,0.6218158006668091,0.03,synth_121
0.005,0.6622048020362854,0.0,synth_122
0.02,0.6152989268302917,0.0,synth_123
0.01,0.6149430274963379,0.0,synth_124
0.015,0.643831193447113,0.0,synth_125
0.01,0.6294278502464294,0.0,synth_126
0.015,0.5894107222557068,0.0,synth_127
0.005,0.6445522308349609,0.0,synth_128
0.01,0.6151097416877747,0.045,synth_129
0.01,0.6529240012168884,0.0,synth_130
0.01,0.6062384247779846,0.025,synth_131
0.0,0.61942058801651,0.05,synth_132
0.025,0.5878932476043701,0.0,synth_133
0.04,0.5425905585289001,0.0,synth_134
0.0,0.6516321897506714,0.015,synth_135
0.03,0.6456847190856934,0.0,synth_136
0.015,0.643584132194519,0.0,synth_137
0.005,0.5836944580078125,0.055,synth_138
0.0,0.6246016025543213,0.0,synth_139
0.015,0.6398650407791138,0.0,synth_140
0.015,0.6145855784416199,0.0,synth_141
0.03,0.5659604668617249,0.0,synth_142
0.01,0.6701751351356506,0.0,synth_143
0.005,0.6131613254547119,0.035,synth_144
0.01,0.6283659934997559,0.0,synth_145
0.005,0.6386034488677979,0.0,synth_146
0.015,0.6163235306739807,0.0,synth_147
0.005,0.6124225854873657,0.05,synth_148
0.0,0.6233344674110413,0.065,synth_149
0.015,0.5960828065872192,0.045,synth_150
0.015,0.5947666764259338,0.0,synth_151
0.015,0.6328378915786743,0.0,synth_152
0.01,0.6460670828819275,0.0,synth_153
0.035,0.5912453532218933,0.0,synth_154
0.01,0.6474584341049194,0.0,synth_155
0.02,0.6139023303985596,0.0,synth_156
0.01,0.6090377569198608,0.055,synth_157
0.01,0.6503151059150696,0.0,synth_158
0.01,0.6258633732795715,0.0,synth_159
0.015,0.5917286276817322,0.0,synth_160
0.01,0.6468889117240906,0.0,synth_161
0.01,0.6587362289428711,0.0,synth_162
0.01,0.641087532043457,0.0,synth_163
0.01,0.5368795394897461,0.04,synth_164
0.01,0.6607841849327087,0.0,synth_165
0.035,0.6346509456634521,0.0,synth_166
0.005,0.6467647552490234,0.0,synth_167
0.015,0.6281996965408325,0.0,synth_168
0.035,0.5880594253540039,0.0,synth_169
0.035,0.5463540554046631,0.0,synth_170
0.0,0.6037641167640686,0.06,synth_171
0.015,0.6264488697052002,0.0,synth_172
0.015,0.6089608669281006,0.0,synth_173
0.0,0.6057853698730469,0.055,synth_174
0.015,0.6353380084037781,0.0,synth_175
0.005,0.6168949604034424,0.04,synth_176
0.01,0.5914483070373535,0.0,synth_177
0.005,0.639946699142456,0.0,synth_178
0.015,0.6046739220619202,0.0,synth_179
0.005,0.6357058882713318,0.0,synth_180
0.01,0.6421512961387634,0.0,synth_181
0.01,0.6544802784919739,0.0,synth_182
0.02,0.5751606225967407,0.0,synth_183
0.0,0.6530492901802063,0.0,synth_184
0.0,0.5861443877220154,0.065,synth_185
0.01,0.5953794717788696,0.03,synth_186
0.03,0.6458063721656799,0.0,synth_187
0.005,0.6255030632019043,0.0,synth_188
0.025,0.6264641284942627,0.0,synth_189
0.0,0.6157662868499756,0.015,synth_190
0.045,0.6281183958053589,0.0,synth_191
0.005,0.6062644720077515,0.04,synth_192
0.015,0.6025021076202393,0.0,synth_193
0.005,0.5606221556663513,0.0,synth_194
0.02,0.6217862367630005,0.0,synth_195
0.005,0.6248912811279297,0.055,synth_196
0.015,0.619290828704834,0.0,synth_197
0.025,0.5646222829818726,0.0,synth_198
0.005,0.6514303684234619,0.025,synth_199
0.01,0.6118318438529968,0.0,synth_200
0.02,0.6460098624229431,0.0,synth_201
0.01,0.6183398962020874,0.0,synth_202
0.015,0.5994699597358704,0.0,synth_203
0.005,0.614716112613678,0.015,synth_204
0.01,0.629881739616394,0.0,synth_205
0.02,0.5572729110717773,0.0,synth_206
0.02,0.6049754619598389,0.0,synth_207
0.0,0.6316880583763123,0.05,synth_208
0.005,0.6404262781143188,0.05,synth_209
0.015,0.6147407293319702,0.015,synth_210
0.025,0.5747144818305969,0.0,synth_211
0.0,0.6246111989021301,0.03,synth_212
0.055,0.5755633115768433,0.0,synth_213
0.015,0.6080213189125061,0.0,synth_214
0.005,0.5974597930908203,0.025,synth_215
0.01,0.6156522035598755,0.02,synth_216
0.01,0.5762269496917725,0.03,synth_217
0.025,0.6116273999214172,0.0,synth_218
0.0,0.6461416482925415,0.03,synth_219
0.025,0.637259304523468,0.0,synth_220
0.0,0.618003785610199,0.045,synth_221
0.02,0.6220316886901855,0.0,synth_222
0.04,0.6549117565155029,0.0,synth_223
0.015,0.6162187457084656,0.0,synth_224
0.005,0.5952451229095459,0.025,synth_225
0.01,0.6523618102073669,0.0,synth_226
0.035,0.590234100818634,0.0,synth_227
0.005,0.5576671361923218,0.09,synth_228
0.005,0.601331353187561,0.0,synth_229
0.0,0.6168895363807678,0.0,synth_230
0.01,0.587958812713623,0.0,synth_231
0.005,0.5924738645553589,0.04,synth_232
0.005,0.6027519702911377,0.0,synth_233
0.035,0.6377639174461365,0.0,synth_234
0.005,0.6020485758781433,0.0,synth_235
0.005,0.6032946109771729,0.01,synth_236
0.01,0.6603221297264099,0.0,synth_237
0.02,0.5645018219947815,0.0,synth_238
0.035,0.6397593021392822,0.0,synth_239
0.005,0.6281948685646057,0.005,synth_240
0.005,0.6150076389312744,0.0,synth_241
0.0,0.6311395764350891,0.04,synth_242
0.0,0.6388413310050964,0.0,synth_243
0.005,0.628221869468689,0.035,synth_244
0.005,0.6365521550178528,0.05,synth_245
0.005,0.6095303893089294,0.04,synth_246
0.015,0.6107228398323059,0.0,synth_247
0.025,0.6022188663482666,0.0,synth_248
0.005,0.5939266681671143,0.06,synth_249
0.03,0.5817758440971375,0.0,synth_250
0.03,0.6205505728721619,0.0,synth_251
0.005,0.6121089458465576,0.0,synth_252
0.025,0.6219032406806946,0.0,synth_253
0.035,0.6089333891868591,0.0,synth_254
0.01,0.6320334076881409,0.015,synth_255
0.01,0.6115583181381226,0.0,synth_256
0.005,0.6307639479637146,0.035,synth_257
0.005,0.6266224980354309,0.0,synth_258
0.0,0.6192663311958313,0.0,synth_259
0.03,0.635948121547699,0.0,synth_260
0.02,0.6428366899490356,0.0,synth_261
0.005,0.6261624097824097,0.03,synth_262
0.0,0.5862268209457397,0.0,synth_263
0.005,0.6050440073013306,0.01,synth_264
0.005,0.6045096516609192,0.0,synth_265
0.04,0.557471513748169,0.0,synth_266
0.01,0.6666377186775208,0.0,synth_267
0.01,0.6496758460998535,0.0,synth_268
0.015,0.5917677879333496,0.0,synth_269
0.025,0.6101208925247192,0.0,synth_270
0.02,0.5644411444664001,0.0,synth_271
0.005,0.5652261972427368,0.06,synth_272
0.0,0.6267188787460327,0.035,synth_273
0.025,0.5918776988983154,0.0,synth_274
0.005,0.6219837665557861,0.055,synth_275
0.015,0.6186215281486511,0.0,synth_276
0.01,0.6181508302688599,0.0,synth_277
0.03,0.5919079184532166,0.0,synth_278
0.015,0.580292284488678,0.0,synth_279
0.005,0.5739119648933411,0.065,synth_280
0.01,0.6360989212989807,0.0,synth_281
0.01,0.6393283009529114,0.0,synth_282
0.01,0.6376218199729919,0.0,synth_283
0.0,0.6131826639175415,0.015,synth_284
0.015,0.6074540615081787,0.0,synth_285
0.03,0.5795376300811768,0.0,synth_286
0.015,0.6025127172470093,0.0,synth_287
0.035,0.5884968042373657,0.0,synth_288
0.01,0.5570451617240906,0.0,synth_289
0.01,0.6153779029846191,0.0,synth_290
0.025,0.6346989870071411,0.0,synth_291
0.01,0.6173768043518066,0.0,synth_292
0.005,0.5745002627372742,0.08,synth_293
0.015,0.6327201128005981,0.0,synth_294
0.015,0.6342297792434692,0.0,synth_295
0.005,0.6358145475387573,0.02,synth_296
0.01,0.6264022588729858,0.0,synth_297
0.0,0.5916077494621277,0.065,synth_298
0.005,0.6263734102249146,0.0,synth_299
0.01,0.6078375577926636,0.01,synth_300
0.005,0.6582230925559998,0.0,synth_301
0.01,0.6359891891479492,0.01,synth_302
0.005,0.6433742642402649,0.04,synth_303
0.015,0.5684532523155212,0.045,synth_304
0.025,0.5840626358985901,0.0,synth_305
0.015,0.620414674282074,0.0,synth_306
0.005,0.5904216766357422,0.06,synth_307
0.01,0.6605391502380371,0.0,synth_308
0.005,0.6196621060371399,0.06,synth_309
0.005,0.6357269883155823,0.0,synth_310
0.01,0.6681523323059082,0.005,synth_311
0.015,0.6409258246421814,0.0,synth_312
0.005,0.6319453120231628,0.02,synth_313
0.035,0.5882689952850342,0.0,synth_314
0.005,0.6214234828948975,0.0,synth_315
0.01,0.6224591732025146,0.025,synth_316
0.02,0.5881525874137878,0.0,synth_317
0.005,0.6228989362716675,0.02,synth_318
0.025,0.6145486235618591,0.0,synth_319
0.005,0.6081143617630005,0.0,synth_320
0.025,0.6447928547859192,0.0,synth_321
0.02,0.6212920546531677,0.0,synth_322
0.005,0.6560396552085876,0.05,synth_323
0.01,0.6374837756156921,0.0,synth_324
0.025,0.6004828810691833,0.01,synth_325
0.02,0.6439515948295593,0.0,synth_326
0.015,0.6483811140060425,0.0,synth_327
0.02,0.6461352705955505,0.0,synth_328
0.03,0.5748550295829773,0.0,synth_329
0.025,0.6124841570854187,0.0,synth_330
0.025,0.6111673712730408,0.0,synth_331
0.01,0.6323843598365784,0.02,synth_332
0.02,0.6378470063209534,0.0,synth_333
0.045,0.58089280128479,0.0,synth_334
0.0,0.5882685780525208,0.065,synth_335
0.0,0.5998374819755554,0.065,synth_336
0.02,0.6428970098495483,0.0,synth_337
0.01,0.6287566423416138,0.0,synth_338
0.01,0.6154440641403198,0.015,synth_339
0.005,0.6207666397094727,0.03,synth_340
0.005,0.6354019045829773,0.05,synth_341
0.015,0.6371038556098938,0.0,synth_342
0.02,0.6332481503486633,0.0,synth_343
0.01,0.6584553718566895,0.0,synth_344
0.02,0.5772722959518433,0.0,synth_345
0.01,0.6352834105491638,0.0,synth_346
0.01,0.6181772947311401,0.015,synth_347
0.015,0.6835815906524658,0.0,synth_348
0.01,0.6487241387367249,0.0,synth_349
0.015,0.59371417760849,0.0,synth_350
0.02,0.6565257906913757,0.0,synth_351
0.01,0.6227545142173767,0.0,synth_352
0.0,0.5943167805671692,0.06,synth_353
0.005,0.6163694262504578,0.04,synth_354
0.025,0.5733636617660522,0.0,synth_355
0.005,0.6308098435401917,0.0,synth_356
0.02,0.6147030591964722,0.0,synth_357
0.005,0.6248206496238708,0.0,synth_358
0.03,0.6458469033241272,0.0,synth_359
0.025,0.6163128614425659,0.0,synth_360
0.03,0.5978836417198181,0.0,synth_361
0.02,0.6219074726104736,0.0,synth_362
0.025,0.6029046773910522,0.0,synth_363
0.005,0.630121648311615,0.04,synth_364
0.005,0.6652119755744934,0.0,synth_365
0.01,0.6005643606185913,0.0,synth_366
0.0,0.6296951770782471,0.035,synth_367
0.02,0.6072648763656616,0.0,synth_368
0.005,0.612402617931366,0.0,synth_369
0.01,0.6244427561759949,0.0,synth_370
0.005,0.6001385450363159,0.035,synth_371
0.01,0.553377091884613,0.055,synth_372
0.005,0.6331481337547302,0.0,synth_373
0.015,0.6545584797859192,0.0,synth_374
0.03,0.547659158706665,0.0,synth_375
0.02,0.589049756526947,0.0,synth_376
0.005,0.6190462708473206,0.02,synth_377
0.025,0.6073150038719177,0.0,synth_378
0.025,0.6352505087852478,0.0,synth_379
0.02,0.6180382370948792,0.0,synth_380
0.005,0.6026244759559631,0.035,synth_381
0.01,0.6240140795707703,0.0,synth_382
0.02,0.6226431727409363,0.0,synth_383
0.015,0.6141901612281799,0.0,synth_384
0.02,0.6478391289710999,0.0,synth_385
0.025,0.6359553933143616,0.0,synth_386
0.025,0.5801485776901245,0.0,synth_387
0.02,0.6332128643989563,0.0,synth_388
0.005,0.6183248162269592,0.0,synth_389
0.025,0.6635625958442688,0.0,synth_390
0.035,0.5948172807693481,0.0,synth_391
0.005,0.5882380604743958,0.065,synth_392
0.02,0.6209551692008972,0.0,synth_393
0.02,0.6097478866577148,0.0,synth_394
0.005,0.5739455819129944,0.085,synth_395
0.005,0.664420485496521,0.005,synth_396
0.005,0.6228312253952026,0.0,synth_397
0.015,0.6060969829559326,0.0,synth_398
0.005,0.5848907232284546,0.05,synth_399
0.005,0.6356490254402161,0.03,synth_400
0.015,0.5867949724197388,0.0,synth_401
0.0,0.5838616490364075,0.065,synth_402
0.02,0.5799725651741028,0.0,synth_403
0.04,0.6104497909545898,0.0,synth_404
0.005,0.6243746876716614,0.015,synth_405
0.01,0.6268130540847778,0.0,synth_406
0.005,0.604210376739502,0.0,synth_407
0.005,0.566185474395752,0.055,synth_408
0.005,0.6353689432144165,0.0,synth_409
0.025,0.5633487105369568,0.0,synth_410
0.005,0.6311033964157104,0.0,synth_411
0.025,0.5603089332580566,0.0,synth_412
0.005,0.5960283875465393,0.065,synth_413
0.02,0.6188367605209351,0.0,synth_414
0.005,0.5596456527709961,0.055,synth_415
0.005,0.6462796926498413,0.015,synth_416
0.0,0.647826611995697,0.01,synth_417
0.015,0.62454754114151,0.0,synth_418
0.01,0.6419885158538818,0.0,synth_419
0.025,0.6023063659667969,0.0,synth_420
0.015,0.646845817565918,0.0,synth_421
0.0,0.6478394269943237,0.0,synth_422
0.015,0.6278087496757507,0.0,synth_423
0.01,0.6333872675895691,0.01,synth_424
0.03,0.630324125289917,0.0,synth_425
0.005,0.5567300915718079,0.065,synth_426
0.005,0.5957418084144592,0.065,synth_427
0.02,0.6461120843887329,0.0,synth_428
0.04,0.5743690729141235,0.0,synth_429
0.03,0.6394231915473938,0.0,synth_430
0.005,0.640270471572876,0.0,synth_431
0.0,0.5825108289718628,0.055,synth_432
0.02,0.5763469934463501,0.0,synth_433
0.01,0.5969744920730591,0.02,synth_434
0.0,0.6392906904220581,0.055,synth_435
0.03,0.5806916356086731,0.0,synth_436
0.01,0.6409358382225037,0.0,synth_437
0.015,0.6518042683601379,0.0,synth_438
0.02,0.6209680438041687,0.005,synth_439
0.01,0.5751121640205383,0.0,synth_440
0.0,0.5867022275924683,0.075,synth_441
0.005,0.6276467442512512,0.025,synth_442
0.01,0.633269190788269,0.0,synth_443
0.025,0.6059086322784424,0.0,synth_444
0.02,0.6480758786201477,0.0,synth_445
0.015,0.6078318357467651,0.0,synth_446
0.005,0.5526527762413025,0.075,synth_447
0.015,0.6022544503211975,0.0,synth_448
0.005,0.6610782742500305,0.0,synth_449
0.015,0.6572833061218262,0.0,synth_450
0.0,0.612220823764801,0.035,synth_451
0.0,0.6499806046485901,0.055,synth_452
0.0,0.6301214098930359,0.025,synth_453
0.005,0.6147422790527344,0.03,synth_454
0.025,0.6342377066612244,0.0,synth_455
0.01,0.586270809173584,0.045,synth_456
0.005,0.612011730670929,0.0,synth_457
0.015,0.6438883543014526,0.0,synth_458
0.01,0.6593329906463623,0.0,synth_459
0.02,0.6066216230392456,0.0,synth_460
0.02,0.6033835411071777,0.0,synth_461
0.015,0.5940362811088562,0.0,synth_462
0.01,0.6586841940879822,0.0,synth_463
0.005,0.5997509956359863,0.0,synth_464
0.01,0.662696123123169,0.02,synth_465
0.015,0.5938247442245483,0.0,synth_466
0.04,0.5910746455192566,0.0,synth_467
0.01,0.6165005564689636,0.0,synth_468
0.01,0.6184884905815125,0.035,synth_469
0.03,0.5893314480781555,0.0,synth_470
0.01,0.617168128490448,0.0,synth_471
0.01,0.6459648609161377,0.0,synth_472
0.02,0.5982524752616882,0.0,synth_473
0.025,0.6003972291946411,0.015,synth_474
0.02,0.604613184928894,0.0,synth_475
0.01,0.6778860092163086,0.0,synth_476
0.015,0.64386385679245,0.0,synth_477
0.005,0.6468968391418457,0.025,synth_478
0.01,0.6148176789283752,0.0,synth_479
0.005,0.6073702573776245,0.015,synth_480
0.005,0.6193570494651794,0.04,synth_481
0.005,0.6224780678749084,0.0,synth_482
0.035,0.5596998929977417,0.0,synth_483
0.005,0.63237464427948,0.055,synth_484
0.025,0.6070411205291748,0.0,synth_485
0.025,0.5937317609786987,0.0,synth_486
0.01,0.615291953086853,0.0,synth_487
0.005,0.5718374848365784,0.075,synth_488
0.01,0.6290819048881531,0.0,synth_489
0.025,0.6012231707572937,0.0,synth_490
0.005,0.6323111057281494,0.0,synth_491
0.01,0.6124358773231506,0.0,synth_492
0.0,0.6542724967002869,0.0,synth_493
0.015,0.5787461400032043,0.0,synth_494
0.01,0.6430512070655823,0.0,synth_495
0.01,0.6281840205192566,0.0,synth_496
0.0,0.6205330491065979,0.03,synth_497
0.035,0.5870254039764404,0.0,synth_498
0.01,0.6159931421279907,0.0,synth_499
